stage_id,decision_id,stage_sequence,stage_name,stage_timestamp,stage_status,metric_label,metric_value,payload_summary
STG-DEC-00144-06,DEC-00144,6,EXECUTE,2026-08-06 00:00:36,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00144-07,DEC-00144,7,VERIFY,2026-08-06 00:45:34,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00144-08,DEC-00144,8,LOG,2026-08-06 00:45:41,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00145-01,DEC-00145,1,SIGNAL,2026-08-06 01:59:59,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00145-02,DEC-00145,2,PREDICT,2026-08-06 02:00:08,COMPLETED,Predicted Dwell Blowout,107m turnaround (+35m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00145-03,DEC-00145,3,DIAGNOSE,2026-08-06 02:00:14,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at KOT-PS1
STG-DEC-00145-04,DEC-00145,4,OPTIMIZE,2026-08-06 02:00:20,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -26m recovery
STG-DEC-00145-05,DEC-00145,5,DECIDE,2026-08-06 02:00:26,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00145-06,DEC-00145,6,EXECUTE,2026-08-06 02:00:28,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00145-07,DEC-00145,7,VERIFY,2026-08-06 02:45:26,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00145-08,DEC-00145,8,LOG,2026-08-06 02:45:33,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00146-01,DEC-00146,1,SIGNAL,2026-08-06 06:59:51,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00146-02,DEC-00146,2,PREDICT,2026-08-06 07:00:00,COMPLETED,Predicted Dwell Blowout,109m turnaround (+37m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00146-03,DEC-00146,3,DIAGNOSE,2026-08-06 07:00:06,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at KOT-PS1
STG-DEC-00146-04,DEC-00146,4,OPTIMIZE,2026-08-06 07:00:12,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -27m recovery
STG-DEC-00146-05,DEC-00146,5,DECIDE,2026-08-06 07:00:18,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00146-06,DEC-00146,6,EXECUTE,2026-08-06 07:00:20,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00146-07,DEC-00146,7,VERIFY,2026-08-06 07:45:18,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00146-08,DEC-00146,8,LOG,2026-08-06 07:45:25,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00147-01,DEC-00147,1,SIGNAL,2026-08-06 13:00:03,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00147-02,DEC-00147,2,PREDICT,2026-08-06 13:00:12,COMPLETED,Predicted Dwell Blowout,82m turnaround (+32m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00147-03,DEC-00147,3,DIAGNOSE,2026-08-06 13:00:18,COMPLETED,Causal Attribution,Morning Peak Arrival Surge,Bottleneck identified at PS27
STG-DEC-00147-04,DEC-00147,4,OPTIMIZE,2026-08-06 13:00:24,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -24m recovery
STG-DEC-00147-05,DEC-00147,5,DECIDE,2026-08-06 13:00:30,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00147-06,DEC-00147,6,EXECUTE,2026-08-06 13:00:32,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00147-07,DEC-00147,7,VERIFY,2026-08-06 13:45:30,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00147-08,DEC-00147,8,LOG,2026-08-06 13:45:37,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00148-01,DEC-00148,1,SIGNAL,2026-08-06 19:00:04,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00148-02,DEC-00148,2,PREDICT,2026-08-06 19:00:13,COMPLETED,Predicted Dwell Blowout,72m turnaround (+7m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00148-03,DEC-00148,3,DIAGNOSE,2026-08-06 19:00:19,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS10
STG-DEC-00148-04,DEC-00148,4,OPTIMIZE,2026-08-06 19:00:25,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -5m recovery
STG-DEC-00148-05,DEC-00148,5,DECIDE,2026-08-06 19:00:31,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00148-06,DEC-00148,6,EXECUTE,2026-08-06 19:00:33,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00148-07,DEC-00148,7,VERIFY,2026-08-06 19:45:31,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00148-08,DEC-00148,8,LOG,2026-08-06 19:45:38,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00149-01,DEC-00149,1,SIGNAL,2026-08-06 22:00:11,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00149-02,DEC-00149,2,PREDICT,2026-08-06 22:00:20,COMPLETED,Predicted Dwell Blowout,79m turnaround (+7m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00149-03,DEC-00149,3,DIAGNOSE,2026-08-06 22:00:26,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at KOT-PS1
STG-DEC-00149-04,DEC-00149,4,OPTIMIZE,2026-08-06 22:00:32,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -5m recovery
STG-DEC-00149-05,DEC-00149,5,DECIDE,2026-08-06 22:00:38,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00149-06,DEC-00149,6,EXECUTE,2026-08-06 22:00:40,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00149-07,DEC-00149,7,VERIFY,2026-08-06 22:45:38,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00149-08,DEC-00149,8,LOG,2026-08-06 22:45:45,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00150-01,DEC-00150,1,SIGNAL,2026-08-07 12:00:06,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00150-02,DEC-00150,2,PREDICT,2026-08-07 12:00:15,COMPLETED,Predicted Dwell Blowout,73m turnaround (+23m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00150-03,DEC-00150,3,DIAGNOSE,2026-08-07 12:00:21,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS27
STG-DEC-00150-04,DEC-00150,4,OPTIMIZE,2026-08-07 12:00:27,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -17m recovery
STG-DEC-00150-05,DEC-00150,5,DECIDE,2026-08-07 12:00:33,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00150-06,DEC-00150,6,EXECUTE,2026-08-07 12:00:35,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00150-07,DEC-00150,7,VERIFY,2026-08-07 12:45:33,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00150-08,DEC-00150,8,LOG,2026-08-07 12:45:40,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00151-01,DEC-00151,1,SIGNAL,2026-08-07 16:00:17,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00151-02,DEC-00151,2,PREDICT,2026-08-07 16:00:26,COMPLETED,Predicted Dwell Blowout,74m turnaround (+16m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00151-03,DEC-00151,3,DIAGNOSE,2026-08-07 16:00:32,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS25
STG-DEC-00151-04,DEC-00151,4,OPTIMIZE,2026-08-07 16:00:38,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00151-05,DEC-00151,5,DECIDE,2026-08-07 16:00:44,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00151-06,DEC-00151,6,EXECUTE,2026-08-07 16:00:46,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00151-07,DEC-00151,7,VERIFY,2026-08-07 16:45:44,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00151-08,DEC-00151,8,LOG,2026-08-07 16:45:51,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00152-01,DEC-00152,1,SIGNAL,2026-08-08 00:00:01,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00152-02,DEC-00152,2,PREDICT,2026-08-08 00:00:10,COMPLETED,Predicted Dwell Blowout,109m turnaround (+37m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00152-03,DEC-00152,3,DIAGNOSE,2026-08-08 00:00:16,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at KOT-PS1
STG-DEC-00152-04,DEC-00152,4,OPTIMIZE,2026-08-08 00:00:22,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -27m recovery
STG-DEC-00152-05,DEC-00152,5,DECIDE,2026-08-08 00:00:28,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00152-06,DEC-00152,6,EXECUTE,2026-08-08 00:00:30,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00152-07,DEC-00152,7,VERIFY,2026-08-08 00:45:28,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00152-08,DEC-00152,8,LOG,2026-08-08 00:45:35,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00153-01,DEC-00153,1,SIGNAL,2026-08-08 08:59:55,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00153-02,DEC-00153,2,PREDICT,2026-08-08 09:00:04,COMPLETED,Predicted Dwell Blowout,80m turnaround (+15m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00153-03,DEC-00153,3,DIAGNOSE,2026-08-08 09:00:10,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS10
STG-DEC-00153-04,DEC-00153,4,OPTIMIZE,2026-08-08 09:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -11m recovery
STG-DEC-00153-05,DEC-00153,5,DECIDE,2026-08-08 09:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00153-06,DEC-00153,6,EXECUTE,2026-08-08 09:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00153-07,DEC-00153,7,VERIFY,2026-08-08 09:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00153-08,DEC-00153,8,LOG,2026-08-08 09:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00154-01,DEC-00154,1,SIGNAL,2026-08-08 17:00:14,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00154-02,DEC-00154,2,PREDICT,2026-08-08 17:00:23,COMPLETED,Predicted Dwell Blowout,99m turnaround (+41m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00154-03,DEC-00154,3,DIAGNOSE,2026-08-08 17:00:29,COMPLETED,Causal Attribution,Flow Meter Temperature Sensor Drift,Bottleneck identified at PS25
STG-DEC-00154-04,DEC-00154,4,OPTIMIZE,2026-08-08 17:00:35,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -30m recovery
STG-DEC-00154-05,DEC-00154,5,DECIDE,2026-08-08 17:00:41,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00154-06,DEC-00154,6,EXECUTE,2026-08-08 17:00:43,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00154-07,DEC-00154,7,VERIFY,2026-08-08 17:45:41,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00154-08,DEC-00154,8,LOG,2026-08-08 17:45:48,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00155-01,DEC-00155,1,SIGNAL,2026-08-09 19:59:55,COMPLETED,Trigger Received,Demand surge at PS25,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00155-02,DEC-00155,2,PREDICT,2026-08-09 20:00:04,COMPLETED,Predicted Dwell Blowout,72m turnaround (+14m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00155-03,DEC-00155,3,DIAGNOSE,2026-08-09 20:00:10,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS25
STG-DEC-00155-04,DEC-00155,4,OPTIMIZE,2026-08-09 20:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -10m recovery
STG-DEC-00155-05,DEC-00155,5,DECIDE,2026-08-09 20:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00155-06,DEC-00155,6,EXECUTE,2026-08-09 20:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00155-07,DEC-00155,7,VERIFY,2026-08-09 20:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00155-08,DEC-00155,8,LOG,2026-08-09 20:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00156-01,DEC-00156,1,SIGNAL,2026-08-09 22:00:10,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00156-02,DEC-00156,2,PREDICT,2026-08-09 22:00:19,COMPLETED,Predicted Dwell Blowout,79m turnaround (+14m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00156-03,DEC-00156,3,DIAGNOSE,2026-08-09 22:00:25,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at PS10
STG-DEC-00156-04,DEC-00156,4,OPTIMIZE,2026-08-09 22:00:31,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -10m recovery
STG-DEC-00156-05,DEC-00156,5,DECIDE,2026-08-09 22:00:37,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00156-06,DEC-00156,6,EXECUTE,2026-08-09 22:00:39,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00156-07,DEC-00156,7,VERIFY,2026-08-09 22:45:37,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00156-08,DEC-00156,8,LOG,2026-08-09 22:45:44,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00157-01,DEC-00157,1,SIGNAL,2026-08-10 04:00:13,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00157-02,DEC-00157,2,PREDICT,2026-08-10 04:00:22,COMPLETED,Predicted Dwell Blowout,57m turnaround (+12m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00157-03,DEC-00157,3,DIAGNOSE,2026-08-10 04:00:28,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at PS28
STG-DEC-00157-04,DEC-00157,4,OPTIMIZE,2026-08-10 04:00:34,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00157-05,DEC-00157,5,DECIDE,2026-08-10 04:00:40,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00157-06,DEC-00157,6,EXECUTE,2026-08-10 04:00:42,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00157-07,DEC-00157,7,VERIFY,2026-08-10 04:45:40,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00157-08,DEC-00157,8,LOG,2026-08-10 04:45:47,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00158-01,DEC-00158,1,SIGNAL,2026-08-10 20:00:10,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00158-02,DEC-00158,2,PREDICT,2026-08-10 20:00:19,COMPLETED,Predicted Dwell Blowout,81m turnaround (+16m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00158-03,DEC-00158,3,DIAGNOSE,2026-08-10 20:00:25,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS10
STG-DEC-00158-04,DEC-00158,4,OPTIMIZE,2026-08-10 20:00:31,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -12m recovery
STG-DEC-00158-05,DEC-00158,5,DECIDE,2026-08-10 20:00:37,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00158-06,DEC-00158,6,EXECUTE,2026-08-10 20:00:39,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00158-07,DEC-00158,7,VERIFY,2026-08-10 20:45:37,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00158-08,DEC-00158,8,LOG,2026-08-10 20:45:44,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00159-01,DEC-00159,1,SIGNAL,2026-08-11 02:59:59,COMPLETED,Trigger Received,Demand surge at PS27,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00159-02,DEC-00159,2,PREDICT,2026-08-11 03:00:08,COMPLETED,Predicted Dwell Blowout,58m turnaround (+8m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00159-03,DEC-00159,3,DIAGNOSE,2026-08-11 03:00:14,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS27
STG-DEC-00159-04,DEC-00159,4,OPTIMIZE,2026-08-11 03:00:20,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -6m recovery
STG-DEC-00159-05,DEC-00159,5,DECIDE,2026-08-11 03:00:26,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00159-06,DEC-00159,6,EXECUTE,2026-08-11 03:00:28,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00159-07,DEC-00159,7,VERIFY,2026-08-11 03:45:26,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00159-08,DEC-00159,8,LOG,2026-08-11 03:45:33,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00160-01,DEC-00160,1,SIGNAL,2026-08-11 04:59:59,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00160-02,DEC-00160,2,PREDICT,2026-08-11 05:00:08,COMPLETED,Predicted Dwell Blowout,93m turnaround (+21m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00160-03,DEC-00160,3,DIAGNOSE,2026-08-11 05:00:14,COMPLETED,Causal Attribution,Gantry Queue Congestion + Slow Metering,Bottleneck identified at KOT-PS1
STG-DEC-00160-04,DEC-00160,4,OPTIMIZE,2026-08-11 05:00:20,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -15m recovery
STG-DEC-00160-05,DEC-00160,5,DECIDE,2026-08-11 05:00:26,COMPLETED,L1_ADVISORY Policy Check,Status: ADVISORY_POSTED,Autonomy rule evaluation completed
STG-DEC-00160-06,DEC-00160,6,EXECUTE,2026-08-11 05:00:28,SKIPPED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00160-07,DEC-00160,7,VERIFY,2026-08-11 05:45:26,SKIPPED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00160-08,DEC-00160,8,LOG,2026-08-11 05:45:33,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00161-01,DEC-00161,1,SIGNAL,2026-08-11 18:59:55,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00161-02,DEC-00161,2,PREDICT,2026-08-11 19:00:04,COMPLETED,Predicted Dwell Blowout,78m turnaround (+13m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00161-03,DEC-00161,3,DIAGNOSE,2026-08-11 19:00:10,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS10
STG-DEC-00161-04,DEC-00161,4,OPTIMIZE,2026-08-11 19:00:16,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -9m recovery
STG-DEC-00161-05,DEC-00161,5,DECIDE,2026-08-11 19:00:22,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00161-06,DEC-00161,6,EXECUTE,2026-08-11 19:00:24,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00161-07,DEC-00161,7,VERIFY,2026-08-11 19:45:22,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00161-08,DEC-00161,8,LOG,2026-08-11 19:45:29,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00162-01,DEC-00162,1,SIGNAL,2026-08-12 04:00:11,COMPLETED,Trigger Received,Demand surge at PS10,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00162-02,DEC-00162,2,PREDICT,2026-08-12 04:00:20,COMPLETED,Predicted Dwell Blowout,95m turnaround (+30m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00162-03,DEC-00162,3,DIAGNOSE,2026-08-12 04:00:26,COMPLETED,Causal Attribution,Clustered Transporter Arrivals,Bottleneck identified at PS10
STG-DEC-00162-04,DEC-00162,4,OPTIMIZE,2026-08-12 04:00:32,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -22m recovery
STG-DEC-00162-05,DEC-00162,5,DECIDE,2026-08-12 04:00:38,COMPLETED,L3_APPROVAL_REQUIRED Policy Check,Status: APPROVED,Autonomy rule evaluation completed
STG-DEC-00162-06,DEC-00162,6,EXECUTE,2026-08-12 04:00:40,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00162-07,DEC-00162,7,VERIFY,2026-08-12 04:45:38,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00162-08,DEC-00162,8,LOG,2026-08-12 04:45:45,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00163-01,DEC-00163,1,SIGNAL,2026-08-12 12:00:07,COMPLETED,Trigger Received,Demand surge at KOT-PS1,Telemetry ingested from Smart Gate and SCADA DCS
STG-DEC-00163-02,DEC-00163,2,PREDICT,2026-08-12 12:00:16,COMPLETED,Predicted Dwell Blowout,99m turnaround (+27m above baseline SLA),Forecasted queue blowout with 91% confidence
STG-DEC-00163-03,DEC-00163,3,DIAGNOSE,2026-08-12 12:00:22,COMPLETED,Causal Attribution,Tank Recertification Hold,Bottleneck identified at KOT-PS1
STG-DEC-00163-04,DEC-00163,4,OPTIMIZE,2026-08-12 12:00:28,COMPLETED,Candidate Ranking,OPT-03 selected (Score 92/100),Evaluated candidate options for -20m recovery
STG-DEC-00163-05,DEC-00163,5,DECIDE,2026-08-12 12:00:34,COMPLETED,L2_AUTO_EXECUTABLE Policy Check,Status: EXECUTED,Autonomy rule evaluation completed
STG-DEC-00163-06,DEC-00163,6,EXECUTE,2026-08-12 12:00:36,COMPLETED,Actuation Dispatch,Actuation command routed,Control payload delivered to terminal gateway
STG-DEC-00163-07,DEC-00163,7,VERIFY,2026-08-12 12:45:34,COMPLETED,Closed-Loop Recovery,Observed dwell delta reduction,Field telemetry feedback verified
STG-DEC-00163-08,DEC-00163,8,LOG,2026-08-12 12:45:41,COMPLETED,Audit Record Sealed,SHA-256 Digest Confirmed,Tamper-evident record sealed to immutable operational audit store
STG-DEC-00164-01,DEC-00164,1,SIGNAL,2026-08-12 21:00:01,COMPLETED,Trigger Received,Demand surge at PS28,Telemetry ingested from Smart Gate and SCADA DCS
